year,disease,sido,sigungu,gender,age_group,patients,visit_days,cost,context_key,visit_days_per_patient,cost_per_patient
2024,ADHD,서울,강북구,여,30~39세,46,283,32898540,adhd,6.1521739130434785,715185.6521739131
2024,ADHD,서울,강북구,여,40~49세,19,141,11778250,adhd,7.421052631578948,619907.8947368421
2024,ADHD,서울,강북구,여,50~59세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강북구,여,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강북구,여,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강북구,여,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강북구,여,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,강북구,여,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,금천구,남,0~9세,50,372,35846080,adhd,7.44,716921.6
2024,ADHD,서울,금천구,남,10~19세,71,506,59858070,adhd,7.126760563380282,843071.4084507042
2024,ADHD,서울,금천구,남,20~29세,162,1161,149849110,adhd,7.166666666666667,924994.5061728396
2024,ADHD,서울,금천구,남,30~39세,142,1092,146665220,adhd,7.690140845070423,1032853.661971831
2024,ADHD,서울,금천구,남,40~49세,30,194,27090180,adhd,6.466666666666667,903006.0
2024,ADHD,서울,금천구,남,50~59세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,금천구,남,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,금천구,남,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,금천구,남,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,금천구,남,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,금천구,남,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,금천구,여,0~9세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,금천구,여,10~19세,33,240,27324420,adhd,7.2727272727272725,828012.7272727273
2024,ADHD,서울,금천구,여,20~29세,219,1676,210058840,adhd,7.65296803652968,959172.7853881279
2024,ADHD,서울,금천구,여,30~39세,140,1056,142912020,adhd,7.542857142857143,1020800.1428571428
2024,ADHD,서울,금천구,여,40~49세,24,174,23892870,adhd,7.25,995536.25
2024,ADHD,서울,금천구,여,50~59세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,금천구,여,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,금천구,여,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,금천구,여,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,금천구,여,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,서울,금천구,여,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,부산,부산남구,남,0~9세,590,4687,323075210,adhd,7.944067796610169,547585.1016949152
2024,ADHD,부산,부산남구,남,10~19세,583,4650,362555640,adhd,7.97598627787307,621879.3138936536
2024,ADHD,부산,부산남구,남,20~29세,178,1511,148489700,adhd,8.48876404494382,834211.797752809
2024,ADHD,부산,부산남구,남,30~39세,79,636,63718870,adhd,8.050632911392405,806567.9746835442
2024,ADHD,부산,부산남구,남,40~49세,25,165,17394650,adhd,6.6,695786.0
2024,ADHD,부산,부산남구,남,50~59세,0,0,0,adhd,0.0,0.0
2024,ADHD,부산,부산남구,남,60~69세,0,0,0,adhd,0.0,0.0
2024,ADHD,부산,부산남구,남,70~79세,0,0,0,adhd,0.0,0.0
2024,ADHD,부산,부산남구,남,80~89세,0,0,0,adhd,0.0,0.0
2024,ADHD,부산,부산남구,남,90~99세,0,0,0,adhd,0.0,0.0
2024,ADHD,부산,부산남구,남,100세이상,0,0,0,adhd,0.0,0.0
2024,ADHD,부산,부산남구,여,0~9세,180,1292,87733020,adhd,7.177777777777778,487405.6666666667
2024,ADHD,부산,부산남구,여,10~19세,305,2520,200779340,adhd,8.262295081967213,658292.9180327869
2024,ADHD,부산,부산남구,여,20~29세,224,2115,201531750,adhd,9.441964285714286,899695.3125
2024,ADHD,부산,부산남구,여,30~39세,72,664,59458080,adhd,9.222222222222221,825806.6666666666
2024,ADHD,부산,부산남구,여,40~49세,41,265,20356230,adhd,6.463414634146342,496493.4146341463
