시도별(1),성별(1),2024,2024.1,2024.2,2024.3,2024.4,2024.5,2024.6,2024.7,2024.8,2024.9,2024.10,2024.11,2024.12,2024.13,2024.14,2024.15,2024.16,2024.17,2024.18,2024.19,2024.20,2024.21,2024.22,2024.23,2024.24,2024.25,2024.26,2024.27,2024.28,2024.29,2024.30,2024.31,2024.32,2024.33,2024.34
시도별(1),성별(1),계,계,계,계,계,20대,20대,20대,20대,20대,30대,30대,30대,30대,30대,40대,40대,40대,40대,40대,50대,50대,50대,50대,50대,60대,60대,60대,60대,60대,70대,70대,70대,70대,70대
시도별(1),성별(1),계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심
대전광역시,여자,64629,48310,11465,4437,417,9705,6712,1975,905,113,12207,8161,2776,1171,99,11606,8349,2295,876,86,14089,10959,2277,797,56,11236,9165,1537,494,40,5786,4964,605,194,23
울산광역시,합계,97893,81564,12412,3608,309,12037,9808,1629,546,54,18053,14335,2775,871,72,18281,14441,2891,863,86,21192,17740,2717,687,48,20504,18107,1867,493,37,7826,7133,533,148,12
울산광역시,남자,51285,44115,5680,1385,105,6656,5745,706,192,13,10250,8573,1304,350,23,9369,7522,1458,354,35,10356,8917,1188,237,14,10739,9702,814,207,16,3915,3656,210,45,4
울산광역시,여자,46608,37449,6732,2223,204,5381,4063,923,354,41,7803,5762,1471,521,49,8912,6919,1433,509,51,10836,8823,1529,450,34,9765,8405,1053,286,21,3911,3477,323,103,8
세종특별자치시,합계,34345,26911,5583,1706,145,3880,2965,619,267,29,7332,5493,1372,425,42,8801,6634,1646,489,32,7807,6247,1205,322,33,4605,3881,568,148,8,1920,1691,173,55,1
세종특별자치시,남자,17288,14112,2498,631,47,1940,1602,243,84,11,3611,2870,592,137,12,4336,3349,774,201,12,4133,3393,593,136,11,2344,2065,224,54,1,924,833,72,19,0
세종특별자치시,여자,17057,12799,3085,1075,98,1940,1363,376,183,18,3721,2623,780,288,30,4465,3285,872,288,20,3674,2854,612,186,22,2261,1816,344,94,7,996,858,101,36,1
경기도,합계,1263581,992594,197557,67299,6131,170727,130198,27858,11387,1284,253651,187235,47555,17420,1441,251921,187037,47332,16180,1372,273063,218578,41002,12385,1098,224308,190506,25527,7556,719,89911,79040,8283,2371,217
경기도,남자,650173,534848,87805,25432,2088,89828,74527,11183,3734,384,136787,108845,21119,6388,435,130594,99702,23384,6990,518,139005,115218,18600,4805,382,111371,98043,10334,2707,287,42588,38513,3185,808,82
경기도,여자,613408,457746,109752,41867,4043,80899,55671,16675,7653,900,116864,78390,26436,11032,1006,121327,87335,23948,9190,854,134058,103360,22402,7580,716,112937,92463,15193,4849,432,47323,40527,5098,1563,135
강원특별자치도,합계,126445,103759,16510,5603,573,16034,12592,2373,964,105,20188,15363,3447,1260,118,20390,15554,3440,1262,134,27384,22673,3535,1077,99,27835,24396,2620,745,74,14614,13181,1095,295,43
강원특별자치도,남자,65059,55605,7186,2067,201,8725,7358,1007,335,25,10968,8940,1525,471,32,10380,8258,1579,493,50,13960,11999,1544,373,44,13906,12490,1102,286,28,7120,6560,429,109,22
강원특별자치도,여자,61386,48154,9324,3536,372,7309,5234,1366,629,80,9220,6423,1922,789,86,10010,7296,1861,769,84,13424,10674,1991,704,55,13929,11906,1518,459,46,7494,6621,666,186,21
충청북도,합계,147725,119763,20478,6910,574,20575,16281,2981,1199,114,27806,20997,4977,1701,131,25503,19262,4522,1601,118,30918,25554,4048,1218,98,29017,25177,2862,890,88,13906,12492,1088,301,25
충청북도,남자,78446,65999,9520,2726,201,11877,10061,1339,438,39,16131,12966,2452,671,42,13475,10456,2273,700,46,15689,13345,1832,478,34,14583,13014,1207,330,32,6691,6157,417,109,8
충청북도,여자,69279,53764,10958,4184,373,8698,6220,1642,761,75,11675,8031,2525,1030,89,12028,8806,2249,901,72,15229,12209,2216,740,64,14434,12163,1655,560,56,7215,6335,671,192,17
충청남도,합계,191264,155554,25908,9007,795,23998,18775,3636,1427,160,34164,25842,5938,2218,166,36534,27902,6193,2263,176,41083,33903,5396,1620,164,37814,33165,3438,1117,94,17671,15967,1307,362,35
충청남도,남자,103031,86744,12378,3634,275,13672,11530,1597,505,40,20115,16079,3064,927,45,19692,15394,3225,1001,72,21959,18684,2554,658,63,19325,17413,1455,415,42,8268,7644,483,128,13
충청남도,여자,88233,68810,13530,5373,520,10326,7245,2039,922,120,14049,9763,2874,1291,121,16842,12508,2968,1262,104,19124,15219,2842,962,101,18489,15752,1983,702,52,9403,8323,824,234,22
전북특별자치도,합계,150779,125982,18579,5644,574,20463,16363,2905,1087,108,24094,18670,4011,1289,124,25240,19932,3932,1241,135,34176,28871,4104,1082,119,30478,27172,2563,674,69,16328,14974,1064,271,19
전북특별자치도,남자,77909,67240,8275,2194,200,11039,9411,1191,401,36,13043,10693,1809,501,40,13129,10621,1927,529,52,17771,15440,1859,432,40,15319,13952,1100,241,26,7608,7123,389,90,6
전북특별자치도,여자,72870,58742,10304,3450,374,9424,6952,1714,686,72,11051,7977,2202,788,84,12111,9311,2005,712,83,16405,13431,2245,650,79,15159,13220,1463,433,43,8720,7851,675,181,13
전라남도,합계,149944,129135,15422,4934,453,19640,16329,2364,866,81,22428,18181,3083,1070,94,24335,19900,3291,1036,108,32831,28476,3314,957,84,33513,30257,2435,761,60,17197,15992,935,244,26
전라남도,남자,78862,69819,6980,1902,161,11071,9723,1025,299,24,12531,10634,1476,390,31,12640,10519,1632,455,34,17320,15396,1510,374,40,17077,15781,983,290,23,8223,7766,354,94,9
전라남도,여자,71082,59316,8442,3032,292,8569,6606,1339,567,57,9897,7547,1607,680,63,11695,9381,1659,581,74,15511,13080,1804,583,44,16436,14476,1452,471,37,8974,8226,581,150,17
경상북도,합계,217486,182719,26010,8000,757,26137,21428,3362,1211,136,34734,27183,5567,1837,147,36732,28733,5931,1889,179,47328,39986,5677,1521,144,48486,43258,3961,1158,109,24069,22131,1512,384,42
경상북도,남자,114652,99109,12060,3184,299,15179,13192,1504,433,50,20175,16667,2709,749,50,19068,15176,2984,834,74,24317,21057,2588,612,60,24311,22190,1666,411,44,11602,10827,609,145,21
경상북도,여자,102834,83610,13950,4816,458,10958,8236,1858,778,86,14559,10516,2858,1088,97,17664,13557,2947,1055,105,23011,18929,3089,909,84,24175,21068,2295,747,65,12467,11304,903,239,21
경상남도,합계,281202,235858,33721,10663,960,36001,29761,4430,1643,167,46972,37326,7101,2377,168,51778,40977,8037,2553,211,63221,53328,7495,2192,206,57083,50557,4952,1416,158,26147,23909,1706,482,50
경상남도,남자,147466,127373,15463,4275,355,20811,18264,1923,562,62,26998,22562,3417,967,52,26775,21558,3974,1158,85,32129,27791,3393,867,78,28013,25366,2048,539,60,12740,11832,708,182,18
경상남도,여자,133736,108485,18258,6388,605,15190,11497,2507,1081,105,19974,14764,3684,1410,116,25003,19419,4063,1395,126,31092,25537,4102,1325,128,29070,25191,2904,877,98,13407,12077,998,300,32
제주특별자치도,합계,59122,46601,9119,3099,303,7652,5720,1329,542,61,10280,7401,2060,742,77,11805,8902,2099,743,61,13702,11086,1953,595,68,11238,9542,1309,363,24,4445,3950,369,114,12
제주특별자치도,남자,29130,23805,4050,1163,112,3769,3046,528,170,25,5168,3960,905,277,26,5762,4423,1003,311,25,6900,5761,889,226,24,5440,4738,556,138,8,2091,1877,169,41,4
제주특별자치도,여자,29992,22796,5069,1936,191,3883,2674,801,372,36,5112,3441,1155,465,51,6043,4479,1096,432,36,6802,5325,1064,369,44,5798,4804,753,225,16,2354,2073,200,73,8
