진료년도,상병구분,시도,시군구,성별,환자수,입내원일수,요양급여비용
2024,ADHD,인천,인천동구,남,59 ,338 ,22529220 
2024,ADHD,인천,인천동구,여,30 ,155 ,17033690 
2024,ADHD,인천,인천부평구,남,796 ,5546 ,574232280 
2024,ADHD,인천,인천부평구,여,663 ,4361 ,494888170 
2024,ADHD,인천,인천중구,남,769 ,3835 ,369850680 
2024,ADHD,인천,인천중구,여,388 ,2369 ,225443200 
2024,ADHD,인천,인천서구,남,2027 ,12952 ,1389382050 
2024,ADHD,인천,인천서구,여,1245 ,7571 ,769216530 
2024,ADHD,인천,인천남동구,남,1659 ,12136 ,928436170 
2024,ADHD,인천,인천남동구,여,1116 ,7658 ,649702470 
2024,ADHD,인천,인천연수구,남,1347 ,9556 ,956261270 
2024,ADHD,인천,인천연수구,여,724 ,4932 ,493323090 
2024,ADHD,인천,인천계양구,남,608 ,5220 ,360710310 
2024,ADHD,인천,인천계양구,여,298 ,2307 ,196610480 
2024,ADHD,인천,인천강화군,남,44 ,629 ,74925590 
2024,ADHD,인천,인천강화군,여,27 ,205 ,21388680 
2024,ADHD,인천,인천옹진군,남,0 ,0 ,0 
2024,ADHD,인천,인천옹진군,여,0 ,0 ,0 
2024,ADHD,대구,대구남구,남,662 ,4225 ,439206760 
2024,ADHD,대구,대구남구,여,221 ,1226 ,119255790 
2024,ADHD,대구,대구동구,남,504 ,3614 ,345369410 
2024,ADHD,대구,대구동구,여,393 ,2895 ,298700810 
2024,ADHD,대구,대구북구,남,1442 ,10455 ,867321140 
2024,ADHD,대구,대구북구,여,939 ,6558 ,586954020 
2024,ADHD,대구,대구서구,남,123 ,954 ,66344230 
2024,ADHD,대구,대구서구,여,58 ,331 ,21084940 
2024,ADHD,대구,대구수성구,남,3193 ,27344 ,2668111220 
2024,ADHD,대구,대구수성구,여,1816 ,14751 ,1459367060 
2024,ADHD,대구,대구중구,남,709 ,5696 ,523162660 
2024,ADHD,대구,대구중구,여,593 ,4043 ,310030310 
2024,ADHD,대구,대구달서구,남,1300 ,10630 ,1032219420 
2024,ADHD,대구,대구달서구,여,671 ,5104 ,481690310 
2024,ADHD,대구,대구달성군,남,415 ,3123 ,283727310 
2024,ADHD,대구,대구달성군,여,338 ,2276 ,194686580 
2024,ADHD,대구,대구군위군,남,0 ,0 ,0 
2024,ADHD,대구,대구군위군,여,0 ,0 ,0 
2024,ADHD,광주,광주동구,남,571 ,3241 ,285913820 
2024,ADHD,광주,광주동구,여,294 ,1709 ,162176330 
2024,ADHD,광주,광주북구,남,1078 ,9495 ,548365980 
2024,ADHD,광주,광주북구,여,502 ,3591 ,252011880 
2024,ADHD,광주,광주서구,남,972 ,7586 ,401443700 
2024,ADHD,광주,광주서구,여,724 ,5204 ,398351750 
2024,ADHD,광주,광주광산구,남,203 ,1741 ,127362890 
2024,ADHD,광주,광주광산구,여,106 ,910 ,71467360 
2024,ADHD,광주,광주남구,남,719 ,5084 ,473305610 
2024,ADHD,광주,광주남구,여,455 ,3149 ,319302460 
2024,ADHD,대전,대전유성구,남,785 ,4994 ,444387100 
2024,ADHD,대전,대전유성구,여,640 ,3986 ,351884130 
2024,ADHD,대전,대전대덕구,남,125 ,1034 ,85053750 
2024,ADHD,대전,대전대덕구,여,108 ,1153 ,97781360 
2024,ADHD,대전,대전서구,남,2973 ,23471 ,1984974650 
2024,ADHD,대전,대전서구,여,1865 ,13905 ,1250602730 
2024,ADHD,대전,대전동구,남,128 ,938 ,67040260 
2024,ADHD,대전,대전동구,여,81 ,502 ,34315390 
2024,ADHD,대전,대전중구,남,770 ,5299 ,456119620 
2024,ADHD,대전,대전중구,여,378 ,3971 ,400208760 
2024,ADHD,울산,울산남구,남,3383 ,29530 ,2063320000 
2024,ADHD,울산,울산남구,여,1580 ,12387 ,906953330 
2024,ADHD,울산,울산동구,남,102 ,577 ,103978020 
2024,ADHD,울산,울산동구,여,29 ,159 ,26170290 
2024,ADHD,울산,울산중구,남,105 ,634 ,33388340 
2024,ADHD,울산,울산중구,여,60 ,356 ,20792050 
2024,ADHD,울산,울산북구,남,105 ,717 ,50401680 
2024,ADHD,울산,울산북구,여,83 ,527 ,35325410 
2024,ADHD,울산,울산울주군,남,23 ,175 ,15805220 
2024,ADHD,울산,울산울주군,여,0 ,0 ,0 
2024,ADHD,경기,가평군,남,0 ,0 ,0 
2024,ADHD,경기,가평군,여,0 ,0 ,0 
2024,ADHD,경기,양평군,남,28 ,85 ,4808830 
2024,ADHD,경기,양평군,여,14 ,44 ,1713500 
2024,ADHD,경기,연천군,남,23 ,99 ,10907390 
2024,ADHD,경기,연천군,여,13 ,52 ,4538190 
2024,ADHD,경기,광명시,남,880 ,7449 ,885022090 
2024,ADHD,경기,광명시,여,558 ,4127 ,458400950 
2024,ADHD,경기,동두천시,남,244 ,1774 ,112498560 
2024,ADHD,경기,동두천시,여,144 ,939 ,56644160 
2024,ADHD,경기,부천시,남,0 ,0 ,0 
2024,ADHD,경기,부천시,여,0 ,0 ,0 
2024,ADHD,경기,부천소사구,남,301 ,6963 ,863543620 
2024,ADHD,경기,부천소사구,여,201 ,3491 ,418487290 
2024,ADHD,경기,부천오정구,남,0 ,0 ,0 
2024,ADHD,경기,부천오정구,여,0 ,0 ,0 
2024,ADHD,경기,부천원미구,남,2713 ,19862 ,1628890170 
2024,ADHD,경기,부천원미구,여,1368 ,10257 ,882805260 
2024,ADHD,경기,성남수정구,남,614 ,4786 ,487014690 
2024,ADHD,경기,성남수정구,여,374 ,2763 ,252081330 
2024,ADHD,경기,성남중원구,남,390 ,2959 ,309801790 
2024,ADHD,경기,성남중원구,여,289 ,1851 ,187472580 
2024,ADHD,경기,성남분당구,남,5258 ,37521 ,2854914570 
2024,ADHD,경기,성남분당구,여,3494 ,24119 ,2107420030 
2024,ADHD,경기,수원권선구,남,332 ,2185 ,161613520 
2024,ADHD,경기,수원권선구,여,210 ,1381 ,102348560 
2024,ADHD,경기,수원장안구,남,868 ,6480 ,528756380 
2024,ADHD,경기,수원장안구,여,522 ,4506 ,365452300 
2024,ADHD,경기,수원팔달구,남,2542 ,17820 ,2149096970 
2024,ADHD,경기,수원팔달구,여,2252 ,15671 ,1981147730 
2024,ADHD,경기,수원영통구,남,2853 ,17780 ,1503507790 
2024,ADHD,경기,수원영통구,여,1649 ,10594 ,939796950 
2024,ADHD,경기,안양만안구,남,499 ,3320 ,373587920 
2024,ADHD,경기,안양만안구,여,283 ,1652 ,177014520 
2024,ADHD,경기,안양동안구,남,2388 ,17779 ,1358578440 
2024,ADHD,경기,안양동안구,여,1383 ,10438 ,941132950 
2024,ADHD,경기,의정부시,남,2061 ,16632 ,1474888140 
2024,ADHD,경기,의정부시,여,1001 ,8165 ,706262240 
2024,ADHD,경기,과천시,남,55 ,472 ,49059670 
2024,ADHD,경기,과천시,여,66 ,444 ,47771200 
2024,ADHD,경기,구리시,남,656 ,4722 ,252544830 
2024,ADHD,경기,구리시,여,346 ,2421 ,170678000 
2024,ADHD,경기,안산단원구,남,1128 ,9375 ,678579220 
2024,ADHD,경기,안산단원구,여,471 ,3655 ,277310410 
2024,ADHD,경기,안산상록구,남,67 ,530 ,40731680 
2024,ADHD,경기,안산상록구,여,29 ,223 ,17405240 
2024,ADHD,경기,평택시,남,1793 ,12760 ,1300851460 
2024,ADHD,경기,평택시,여,1096 ,7854 ,820630310 
2024,ADHD,경기,하남시,남,1399 ,9228 ,1101578600 
2024,ADHD,경기,하남시,여,945 ,6727 ,738234600 
2024,ADHD,경기,군포시,남,558 ,4757 ,522519740 
2024,ADHD,경기,군포시,여,458 ,3474 ,391631760 
2024,ADHD,경기,남양주시,남,1638 ,11367 ,1173665690 
2024,ADHD,경기,남양주시,여,1104 ,7908 ,799213710 
2024,ADHD,경기,의왕시,남,41 ,554 ,67702660 
2024,ADHD,경기,의왕시,여,14 ,102 ,7657040 
2024,ADHD,경기,시흥시,남,852 ,6722 ,681613680 
2024,ADHD,경기,시흥시,여,501 ,4160 ,450687980 
2024,ADHD,경기,오산시,남,461 ,3831 ,433203260 
2024,ADHD,경기,오산시,여,177 ,1168 ,135488290 
2024,ADHD,경기,고양덕양구,남,1233 ,9319 ,944242730 
2024,ADHD,경기,고양덕양구,여,1031 ,8397 ,860364310 
2024,ADHD,경기,고양일산서구,남,1048 ,8506 ,459407940 
2024,ADHD,경기,고양일산서구,여,598 ,4798 ,297581640 
2024,ADHD,경기,고양일산동구,남,1725 ,12247 ,751140500 
2024,ADHD,경기,고양일산동구,여,821 ,5998 ,417848600 
2024,ADHD,경기,용인기흥구,남,1016 ,7706 ,529592340 
