진료년도,상별구분,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2024,ADHD,서울,구로구,남,30~39세,306 ,2115 ,204203100 
2024,ADHD,서울,구로구,남,40~49세,59 ,389 ,38626530 
2024,ADHD,서울,구로구,남,50~59세,16 ,84 ,6676650 
2024,ADHD,서울,구로구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,구로구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,구로구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,구로구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,구로구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,구로구,여,0~9세,133 ,683 ,45382700 
2024,ADHD,서울,구로구,여,10~19세,258 ,1684 ,152341110 
2024,ADHD,서울,구로구,여,20~29세,585 ,4010 ,396025210 
2024,ADHD,서울,구로구,여,30~39세,375 ,2657 ,266064490 
2024,ADHD,서울,구로구,여,40~49세,80 ,606 ,51081460 
2024,ADHD,서울,구로구,여,50~59세,17 ,88 ,6561860 
2024,ADHD,서울,구로구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,구로구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,구로구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,구로구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,구로구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,도봉구,남,0~9세,153 ,1321 ,89762640 
2024,ADHD,서울,도봉구,남,10~19세,226 ,1852 ,141882070 
2024,ADHD,서울,도봉구,남,20~29세,173 ,1369 ,71516970 
2024,ADHD,서울,도봉구,남,30~39세,103 ,911 ,43448510 
2024,ADHD,서울,도봉구,남,40~49세,29 ,236 ,11893890 
2024,ADHD,서울,도봉구,남,50~59세,0 ,0 ,0 
2024,ADHD,서울,도봉구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,도봉구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,도봉구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,도봉구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,도봉구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,도봉구,여,0~9세,53 ,384 ,27334040 
2024,ADHD,서울,도봉구,여,10~19세,120 ,994 ,64974280 
2024,ADHD,서울,도봉구,여,20~29세,235 ,1692 ,82965920 
2024,ADHD,서울,도봉구,여,30~39세,100 ,759 ,36174130 
2024,ADHD,서울,도봉구,여,40~49세,21 ,166 ,8870880 
2024,ADHD,서울,도봉구,여,50~59세,10 ,100 ,3355470 
2024,ADHD,서울,도봉구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,도봉구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,도봉구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,도봉구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,도봉구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,동대문구,남,0~9세,153 ,885 ,83444520 
2024,ADHD,서울,동대문구,남,10~19세,384 ,2865 ,278085190 
2024,ADHD,서울,동대문구,남,20~29세,543 ,3776 ,418062460 
2024,ADHD,서울,동대문구,남,30~39세,255 ,1789 ,190059810 
2024,ADHD,서울,동대문구,남,40~49세,62 ,430 ,39961790 
2024,ADHD,서울,동대문구,남,50~59세,23 ,144 ,10656390 
2024,ADHD,서울,동대문구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,동대문구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,동대문구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,동대문구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,동대문구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,동대문구,여,0~9세,46 ,238 ,22620070 
2024,ADHD,서울,동대문구,여,10~19세,234 ,1654 ,162770950 
2024,ADHD,서울,동대문구,여,20~29세,877 ,6704 ,761158680 
2024,ADHD,서울,동대문구,여,30~39세,280 ,2145 ,239219770 
2024,ADHD,서울,동대문구,여,40~49세,75 ,529 ,56974460 
2024,ADHD,서울,동대문구,여,50~59세,27 ,237 ,20020370 
2024,ADHD,서울,동대문구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,동대문구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,동대문구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,동대문구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,동대문구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,동작구,남,0~9세,249 ,1417 ,145821360 
2024,ADHD,서울,동작구,남,10~19세,485 ,3228 ,419590410 
2024,ADHD,서울,동작구,남,20~29세,667 ,5277 ,555458950 
2024,ADHD,서울,동작구,남,30~39세,402 ,3336 ,360650400 
2024,ADHD,서울,동작구,남,40~49세,90 ,789 ,68120170 
2024,ADHD,서울,동작구,남,50~59세,11 ,98 ,9144770 
2024,ADHD,서울,동작구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,동작구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,동작구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,동작구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,동작구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,동작구,여,0~9세,72 ,374 ,34904460 
2024,ADHD,서울,동작구,여,10~19세,236 ,1538 ,172805740 
2024,ADHD,서울,동작구,여,20~29세,801 ,6779 ,725246070 
2024,ADHD,서울,동작구,여,30~39세,325 ,2865 ,315753840 
2024,ADHD,서울,동작구,여,40~49세,66 ,503 ,55375080 
2024,ADHD,서울,동작구,여,50~59세,20 ,107 ,11158920 
2024,ADHD,서울,동작구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,동작구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,동작구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,동작구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,동작구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,마포구,남,0~9세,485 ,3764 ,280765120 
2024,ADHD,서울,마포구,남,10~19세,736 ,5526 ,523777310 
2024,ADHD,서울,마포구,남,20~29세,756 ,4959 ,514552320 
2024,ADHD,서울,마포구,남,30~39세,573 ,3939 ,432225720 
2024,ADHD,서울,마포구,남,40~49세,119 ,938 ,96420620 
2024,ADHD,서울,마포구,남,50~59세,27 ,205 ,16811760 
2024,ADHD,서울,마포구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,마포구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,마포구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,마포구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,마포구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,마포구,여,0~9세,123 ,938 ,73847590 
2024,ADHD,서울,마포구,여,10~19세,426 ,3157 ,303161290 
2024,ADHD,서울,마포구,여,20~29세,1333 ,8595 ,946138620 
2024,ADHD,서울,마포구,여,30~39세,746 ,5464 ,595821780 
2024,ADHD,서울,마포구,여,40~49세,175 ,1133 ,117025760 
2024,ADHD,서울,마포구,여,50~59세,35 ,270 ,25251180 
2024,ADHD,서울,마포구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,마포구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,마포구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,마포구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,마포구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,서대문구,남,0~9세,737 ,2652 ,279763020 
2024,ADHD,서울,서대문구,남,10~19세,581 ,2592 ,284192540 
2024,ADHD,서울,서대문구,남,20~29세,141 ,886 ,90682180 
2024,ADHD,서울,서대문구,남,30~39세,95 ,674 ,71740290 
2024,ADHD,서울,서대문구,남,40~49세,34 ,219 ,22806320 
2024,ADHD,서울,서대문구,남,50~59세,0 ,0 ,0 
2024,ADHD,서울,서대문구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,서대문구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,서대문구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,서대문구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,서대문구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,서대문구,여,0~9세,192 ,706 ,80719590 
2024,ADHD,서울,서대문구,여,10~19세,210 ,1103 ,122522410 
2024,ADHD,서울,서대문구,여,20~29세,248 ,1964 ,199368530 
2024,ADHD,서울,서대문구,여,30~39세,91 ,631 ,66279750 
2024,ADHD,서울,서대문구,여,40~49세,19 ,131 ,14308740 
2024,ADHD,서울,서대문구,여,50~59세,0 ,0 ,0 
2024,ADHD,서울,서대문구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,서대문구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,서대문구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,서대문구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,서대문구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,성동구,남,0~9세,297 ,1805 ,182789240 
2024,ADHD,서울,성동구,남,10~19세,485 ,3398 ,379420390 
2024,ADHD,서울,성동구,남,20~29세,317 ,2214 ,229369840 
2024,ADHD,서울,성동구,남,30~39세,259 ,1827 ,199298780 
2024,ADHD,서울,성동구,남,40~49세,80 ,540 ,56692820 
2024,ADHD,서울,성동구,남,50~59세,15 ,97 ,9363830 
2024,ADHD,서울,성동구,남,60~69세,0 ,0 ,0 
2024,ADHD,서울,성동구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,성동구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,성동구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,성동구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,성동구,여,0~9세,101 ,608 ,63545430 
2024,ADHD,서울,성동구,여,10~19세,311 ,2001 ,233535370 
2024,ADHD,서울,성동구,여,20~29세,452 ,3140 ,342109860 
2024,ADHD,서울,성동구,여,30~39세,333 ,2462 ,288463930 
2024,ADHD,서울,성동구,여,40~49세,98 ,679 ,71276810 
2024,ADHD,서울,성동구,여,50~59세,27 ,179 ,19440110 
2024,ADHD,서울,성동구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,성동구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,성동구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,성동구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,성동구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,성북구,남,0~9세,438 ,2580 ,197781140 
